JHU WM tracts
JHU0	anterior_thalamic_radiation_L
JHU1	anterior_thalamic_radiation_R
JHU2	corticospinal_tract_L
JHU3	corticospinal_tract_R
JHU4	cingulum_(cingulate_gyrus)_L
JHU5	cingulum_(cingulate_gyrus)_R
JHU6	cingulum_(hippocampus)_L
JHU7	cingulum_(hippocampus)_R
JHU8	forceps_major
JHU9	forceps_minor
JHU10	inferior_fronto-occipital_fasciculus_L
JHU11	inferior_fronto-occipital_fasciculus_R
JHU12	inferior_longitudinal_fasciculus_L
JHU13	inferior_longitudinal_fasciculus_R
JHU14	superior_longitudinal_fasciculus_L
JHU15	superior_longitudinal_fasciculus_R
JHU16	uncinate_fasciculus_L
JHU17	uncinate_fasciculus_R
JHU18	superior_longitudinal_fasciculus_(temporal_part)_L
JHU19	superior_longitudinal_fasciculus_(temporal_part)_R

HO subcortical
HO0	left_cerebral_white_matter
HO1	left_cerebral_cortex
HO2	left_lateral_ventricle
HO3	left_thalamus
HO4	left_caudate
HO5	left_putamen
HO6	left_pallidum
HO7	brain-stem
HO8	left_hippocampus
HO9	left_amygdala
HO10	left_accumbens
HO11	right_cerebral_white_matter
HO12	right_cerebral_cortex
HO13	right_lateral_ventricle
HO14	right_thalamus
HO15	right_caudate
HO16	right_putamen
HO17	right_pallidum
HO18	right_hippocampus
HO19	right_amygdala
HO20	right_accumbens
