AT1	right_anterior_artery_hemisphere
AT2	left_anterior_artery_hemisphere
AT3	right_middle_artery_hemisphere
AT4	right_posterior_artery_hemisphere
AT5	left_posterior_artery_hemisphere
AT6	left_middle_artery_hemisphere
AT7	right_anterior_artery_callosal
AT8	left_anterior_artery_callosal
AT9	right_middle_artery_lateral_lenticulostriate
AT10	left_middle_artery_lateral_lenticulostriate
AT11	right_posterior_artery_thalamic_and_midbrain_perforators
AT12	left_posterior_artery_thalamic_and_midbrain_perforators
AT13	right_anterior_artery_medial_lenticulostriate
AT14	left_anterior_artery_medial_lenticulostriate
AT15	right_posterior_artery_callosal
AT16	left_posterior_artery_callosal
